Month,London Mean Roadside:Nitric Oxide (ug/m3),London Mean Roadside:Nitrogen Dioxide (ug/m3),London Mean Roadside:Oxides of Nitrogen (ug/m3),London Mean Roadside:Ozone (ug/m3),London Mean Roadside:PM10 Particulate (ug/m3),London Mean Roadside:PM2.5 Particulate (ug/m3),London Mean Roadside:Sulphur Dioxide (ug/m3),London Mean Background:Nitric Oxide (ug/m3),London Mean Background:Nitrogen Dioxide (ug/m3),London Mean Background:Oxides of Nitrogen (ug/m3),London Mean Background:Ozone (ug/m3),London Mean Background:PM10 Particulate (ug/m3),London Mean Background:PM2.5 Particulate (ug/m3),London Mean Background:Sulphur Dioxide (ug/m3)
01-Jan-08,,55.50268817,,29.51209677,24.96908602,14.67876344,4.217741935,,42.33870968,,36.9422043,18.8172043,.,3.572580645
01-Feb-08,,75.92241379,,20.31752874,39.47701149,28.77298851,7.55316092,,60.23706897,,26.42528736,31.89655172,.,6.734195402
01-Mar-08,,55.61021505,,40.10349462,21.56989247,12.30013459,3.86827957,,39.80107527,,50.22715054,15.47715054,.,2.286290323
01-Apr-08,,61.75694444,,37.88472222,28.74027778,20.46111111,4.475,,44.00972222,,50.13333333,21.72916667,.,3.236111111
01-May-08,,62.90322581,,46.26612903,34.61155914,27.50806452,4.634408602,,44.14112903,,60.51209677,29.54569892,16.5768262,4.25
01-Jun-08,,49.16111111,,39.83611111,23.19861111,16.01005747,3.593055556,,31.24166667,,51.32638889,18.25,12.61376404,2.547222222
01-Jul-08,,48.44489247,,34.98252688,22.95833333,14.2405914,3.100806452,,31.21639785,,46.62365591,17.20430108,11.89919355,2.49327957
01-Aug-08,,41.07258065,,30.02150538,20.69354839,11.45295699,2.155913978,,27.85080645,,37.09408602,15.50806452,11.20137931,2.088709677
01-Sep-08,,54.08055556,,22.375,28.22777778,17.97916667,3.748611111,,41.21527778,,28.88611111,22.24444444,15.32451253,3.056944444
01-Oct-08,,56.65860215,,19.33736559,23.00268817,12.91801075,4.305107527,,43.81317204,,25.42741935,16.46908602,11.62096774,2.838709677
01-Nov-08,,57.92916667,,18.80972222,21.85416667,14.71388889,3.2875,,42.31111111,,22.58194444,16.75277778,12.89027778,2.672222222
01-Dec-08,,65.10349462,,14.48655914,27.29704301,20.51612903,3.791666667,,47.50806452,,16.67069892,21.51075269,18.09543011,3.5
01-Jan-09,,68.52284946,,18.78494624,31.11290323,23.17741935,5.880376344,,51.98521505,,21.47177419,25.27553763,20.65994624,4.842741935
01-Feb-09,,71.92559524,,15.07440476,28.01041667,19.07589286,4.680059524,,52.66815476,,20.33779762,20.8452381,17.23809524,3.026785714
01-Mar-09,,65.15456989,,32.32930108,29.97177419,19.70698925,3.266129032,,45.34408602,,40.16801075,24.31586022,17.27956989,2.920698925
01-Apr-09,,63.175,,35.7375,32.59861111,26.08472222,2.691666667,,40.14583333,,46.03888889,27.69027778,21.61666667,2.7375
01-May-09,,48.61021505,,45.38575269,24.87768817,14.30510753,2.819892473,,28.08064516,,55.11290323,19.74865591,11.81451613,2.436827957
01-Jun-09,,56.07638889,,40.12222222,24.68055556,15.9375,3.626388889,,33.13194444,,52.51527778,19.85277778,13.11388889,2.516666667
01-Jul-09,,44.36827957,,32.77150538,20.22446237,11.2311828,2.422043011,,24.85752688,,40.43951613,15.49462366,9.841397849,2.15188172
01-Aug-09,,48.65994624,,28.60349462,21.69623656,13.25672043,2.258064516,,29.20833333,,35.95295699,16.58333333,11.38978495,2.478494624
01-Sep-09,,51.55972222,,26.32083333,24.25555556,14.44305556,2.404166667,,32.67361111,,33.11666667,19.11111111,11.61666667,3.009722222
01-Oct-09,,62.9422043,,15.03763441,27.24731183,18.0188172,4.255376344,,44.29032258,,20.27822581,21.51344086,14.38306452,4.025537634
01-Nov-09,,53.65555556,,29.9,21.94583333,12.89583333,3.378623188,,36.63888889,,36.52916667,17.54305556,11.39166667,2.829166667
01-Dec-09,,65.18010753,,18.88037634,23.09811828,16.27956989,4.127688172,,49.95564516,,22.26478495,18.58736559,13.94892473,3.642473118
01-Jan-10,100.5037634,65.68024194,166.4126344,14.03225806,30.17271505,24.34274194,4.729973118,45.19879032,51.90295699,97.19637097,17.35080645,25.0391129,22.0844086,4.204569892
01-Feb-10,78.78794643,63.8702381,142.7508929,23.81309524,25.19434524,18.33511905,4.586904762,29.2891369,47.6547619,76.99598214,29.82738095,19.40416667,15.94598214,3.230952381
01-Mar-10,72.37553763,59.83548387,120.6416667,26.42473118,25.61290323,15.86034946,3.429301075,22.99905914,40.81626344,63.82459677,42.51935484,19.39637097,14.07782258,2.696908602
01-Apr-10,63.91111111,60.15444444,124.0469444,37.17333333,29.75736111,18.81652778,4.640277778,20.9075,41.90416667,62.83097222,50.20833333,24.33041667,16.26958333,4.123611111
01-May-10,60.8608871,53.23010753,114.0969086,35.09126344,24.53534946,16.19112903,3.883467742,17.32392473,33.09704301,50.47930108,47.2327957,19.85994624,13.2313172,3.175134409
01-Jun-10,55.21847222,53.85861111,109.1,34.00972222,26.51805556,17.44194444,4.414583333,13.35805556,33.68222222,47.08291667,50.17597222,21.97083333,15.07541667,3.183194444
01-Jul-10,58.70712366,46.50860215,105.2418011,28.56680108,20.90107527,12.45336022,3.138978495,11.53413978,25.10887097,36.62634409,42.75228495,16.52365591,8.934408602,2.623521505
01-Aug-10,60.60376344,46.61518817,107.2458333,24.25107527,18.14099462,10.97446237,3.255913978,12.95591398,26.13763441,39.0641129,35.89879032,15.36129032,8.944623656,1.986290323
01-Sep-10,78.13791667,57.15319444,135.3459722,20.34319444,23.82527778,14.45958333,3.593888889,23.93791667,35.42777778,59.37722222,31.80902778,14.48555556,11.43555556,2.681388889
01-Oct-10,82.04825269,59.5686828,141.5930108,19.22755376,25.24086022,15.9061828,3.549865591,30.71223118,38.48481183,69.20147849,27.72997312,19.95241935,12.9655914,2.742741935
01-Nov-10,116.5559722,65.67013889,182.2393056,15.44180556,28.23222222,21.89291667,4.167083333,60.60083333,46.87958333,107.4583333,20.41666667,22.53055556,18.1975,3.685416667
01-Dec-10,111.1717742,71.32150538,182.4034946,10.65819892,27.19301075,22.61370968,3.904704301,54.85215054,53.8922043,108.8001344,13.86948925,21.69180108,19.24260753,3.683602151
01-Jan-11,78.13669355,61.80927419,139.9653226,21.48602151,24.35564516,16.98158602,3.381317204,31.90537634,44.37271505,76.39516129,26.48642473,19.39086022,14.64193548,3.461827957
01-Feb-11,81.10907738,60.35848214,141.3861607,23.49732143,32.57559524,24.33705357,2.898958333,25.78303571,41.19122024,66.6110119,31.33630952,26.51845238,19.87157738,2.341666667
01-Mar-11,94.67271505,68.96478495,163.5377688,23.0436828,43.31491935,32.58077957,3.803897849,36.55430108,49.69798387,86.27284946,32.50201613,36.93266129,29.91236559,4.123790323
01-Apr-11,64.41958333,63.40041667,127.7566667,38.70138889,39.22972222,28.22736111,3.123055556,17.33555556,40.38388889,57.69708333,52.86583333,34.19138889,25.63902778,4.414722222
01-May-11,50.15336022,49.42836022,99.51491935,42.35443548,23.68360215,13.0358871,2.404973118,9.665725806,26.24569892,35.9172043,57.42258065,19.12271505,11.31048387,3.215725806
01-Jun-11,46.36125,50.09527778,111.035,30.27319444,20.685,12.02555556,2.25,12.18291667,25.50986111,37.70125,43.06791667,15.73722222,10.53125,2.789166667
01-Jul-11,60.83346774,51.48951613,112.2791667,32.84180108,21.02741935,12.78266129,2.557258065,11.65658602,25.92016129,37.57271505,45.96841398,16.73400538,11.53978495,2.5625
01-Aug-11,72.26706989,42.18696237,124.0681452,23.18346774,20.43158602,11.86451613,2.946370968,14.21599462,21.21196237,31.69489247,27.08494624,12.05362903,10.38709677,3.195564516
01-Sep-11,87.57652778,55.56458333,143.1475,24.06611111,26.44833333,14.87694444,2.132638889,22.28847222,31.42319444,53.7175,34.13736111,20.32791667,12.91694444,3.790833333
01-Oct-11,92.13790323,60.07244624,152.209543,22.61827957,25.49126344,14.71680108,2.817741935,27.24650538,37.29704301,64.55336022,30.14825269,18.94879032,14.03413978,4.229569892
01-Nov-11,122.7975,48.76361111,186.72,10.91847222,35.42611111,25.16194444,3.407777778,45.37111111,42.58541667,87.94527778,17.31583333,27.81513889,23.50347222,5.12625
01-Dec-11,79.35295699,58.11680108,137.484543,25.85887097,19.07594086,9.190591398,2.92688172,17.72956989,36.04825269,53.77446237,33.64852151,12.89153226,9.509408602,4.095295699
01-Jan-12,103.9341398,62.33897849,166.2788978,20.6172043,26.52715054,15.80147849,2.978629032,37.59314516,40.6313172,78.22486559,27.44314516,19.98709677,15.16854839,4.029301075
01-Feb-12,109.7639368,69.87054598,179.6557471,19.75186782,35.02155172,21.47241379,3.510632184,35.87126437,45.60445402,81.47571839,27.15962644,26.02341954,20.90775862,4.157327586
01-Mar-12,110.6180108,72.81680108,183.4443548,20.98696237,42.59731183,30.325,3.65188172,38.05430108,47.59704301,85.64556452,28.57056452,35.53413978,28.45107527,5.038844086
01-Apr-12,70.25777778,59.01069444,129.2829167,40.84805556,21.82194444,13.3325,2.212777778,12.78722222,31.86583333,44.65486111,52.83819444,16.02708333,11.6275,3.906805556
01-May-12,63.0358871,57.46209677,120.5111559,43.15147849,29.44005376,18.62486559,2.437768817,9.599327957,29.62177419,39.21922043,56.75752688,23.46008065,16.17056452,3.471505376
01-Jun-12,60.89138889,47.04402778,107.9430556,36.94263889,21.40680556,11.91319444,2.08875,10.72111111,24.29791667,35.02527778,47.14208333,15.76375,9.124444444,3.152638889
01-Jul-12,73.33669355,52.77782258,126.1268817,29.21962366,22.12849462,12.81962366,2.378629032,11.90967742,26.78198925,38.69018817,40.39462366,15.64583333,9.114112903,3.872580645
01-Aug-12,70.63830645,52.07728495,122.7541667,27.77795699,23.74986559,13.70739247,2.384274194,12.45268817,28.13400538,40.58978495,39.48172043,17.04072581,9.57688172,3.267876344
01-Sep-12,84.61263889,57.41625,142.0877778,24.96986111,22.53361111,12.38,2.893333333,17.83305556,33.53,51.36083333,33.68652778,16.06097222,9.262222222,3.96875
01-Oct-12,95.31599462,58.71290323,154.1399194,18.95860215,24.55456989,15.78091398,3.752150538,24.84717742,35.0608871,59.9063172,25.41303763,17.40403226,11.43306452,4.032123656
01-Nov-12,128.5984722,69.58513889,198.3031944,16.50916667,27.77611111,17.36486111,3.356666667,40.29388889,44.97013889,85.26541667,22.88763889,19.49611111,14.34819444,4.702916667
01-Dec-12,112.5153226,63.94798387,176.508871,24.23158602,23.05793011,13.90913978,4.056182796,40.69045699,42.81451613,83.46263441,30.02620968,16.34448925,11.41666667,4.671639785
01-Jan-13,122.1134409,67.56034946,189.6134409,19.89099462,30.1436828,20.45456989,4.40577957,41.21747312,45.89771505,87.21760753,24.83817204,22.32271505,17.49045699,4.560349462
01-Feb-13,99.43854167,63.60282738,162.9705357,27.34255952,31.74345238,21.2983631,3.780208333,28.03377976,39.99925595,67.75803571,31.44092262,23.46488095,17.76354167,4.504464286
01-Mar-13,92.15604839,65.55094086,157.7770161,35.0172043,36.17083333,24.97526882,3.499462366,29.51545699,40.9047043,70.20537634,41.19153226,28.19139785,21.78655914,4.83561828
01-Apr-13,65.88277778,56.11388889,121.8702778,45.90763889,29.30361111,17.24319444,2.257083333,12.14069444,30.63708333,42.33819444,54.86694444,21.84611111,14.61208333,2.948472222
01-May-13,67.57997312,57.06451613,124.6655914,41.57365591,24.36021505,14.36182796,3.79905914,12.45376344,29.26653226,42.08897849,50.89865591,17.7063172,12.23346774,3.28077957
01-Jun-13,67.47402778,49.25708333,116.7509722,32.13763889,23.65416667,13.38166667,1.962777778,12.31777778,24.04625,39.25791667,42.69777778,17.47319444,10.77347222,3.001666667
01-Jul-13,63.37163978,54.83400538,118.1479839,34.77258065,27.95860215,15.8266129,2.827822581,12.03360215,28.10994624,43.02916667,48.1547043,21.33830645,13.18548387,3.01922043
01-Aug-13,68.45040323,52.3077957,120.715457,28.41209677,25.1905914,13.43830645,2.417741935,13.11303763,27.25188172,40.23548387,39.6547043,18.87728495,12.34798387,1.764650538
01-Sep-13,107.0741667,59.10722222,166.1413889,16.27680556,29.65833333,17.15444444,2.86125,26.54430556,35.48180556,61.78444444,22.83,21.59555556,14.54305556,2.775277778
01-Oct-13,92.83064516,52.62594086,145.4143817,21.35685484,25.51263441,12.62258065,3.114247312,24.38655914,32.28319892,56.54489247,28.98454301,18.1,10.60833333,3.725672043
01-Nov-13,121.9852778,62.31083333,184.2381944,14.25097222,27.10513889,14.71944444,4.134305556,39.27458333,42.76861111,81.93458333,20.89972222,18.88527778,12.65541667,5.109166667
01-Dec-13,113.0634409,57.88427419,171.2505376,25.16397849,26.21922043,14.51787634,3.096639785,42.90040323,41.7327957,84.01908602,30.81263441,18.94153226,12.74502688,4.839112903
01-Jan-14,104.7869624,56.33212366,161.0907258,26.23870968,22.29233871,11.60147849,1.779973118,42.50376344,38.35349462,77.07231183,34.55577957,16.50752688,10.56854839,4.203763441
01-Feb-14,70.57752976,48.45684524,119.0327381,34.25059524,19.66011905,8.479017857,2.797619048,14.55342262,29.51815476,41.65565476,45.77098214,14.65133929,7.913095238,3.30610119
01-Mar-14,101.1630376,66.24879032,167.4373656,23.6297043,35.66948925,23.82002688,3.342204301,33.0266129,43.51169355,75.11169355,34.45551075,27.30040323,22.53333333,4.411693548
01-Apr-14,81.09305556,59.30791667,140.4361111,29.37347222,30.9875,20.04958333,2.284027778,19.93986111,35.22736111,53.83722222,41.80791667,24.39680556,18.46736111,4.356944444
01-May-14,77.85860215,56.86639785,134.8044355,35.50134409,23.26021505,13.61787634,1.442473118,13.79045699,31.71169355,43.44166667,49.26155914,16.87526882,11.99905914,2.913575269
01-Jun-14,74.26847222,54.58097222,128.8718056,31.69055556,21.88805556,11.57680556,3.034722222,14.8175,28.86666667,42.81972222,44.37666667,16.34652778,10.52791667,2.381944444
01-Jul-14,59.92392473,49.90994624,109.8442204,30.48091398,22.83709677,12.97553763,3.340456989,13.21102151,27.525,39.88508065,45.64623656,17.68938172,12.05080645,3.666666667
01-Aug-14,60.83629032,45.46465054,106.3205645,29.50994624,18.48508065,9.699193548,2.981182796,13.18723118,26.04825269,37.74206989,40.25013441,14.07123656,9.318010753,4.183870968
01-Sep-14,93.86277778,63.04111111,156.8719444,21.11736111,35.53777778,25.24986111,5.515,26.03819444,40.12055556,64.58541667,31.04972222,29.10819444,24.67277778,3.145277778
01-Oct-14,103.0068548,55.54099462,158.5502688,20.27150538,22.5202957,12.79462366,3.510661269,24.96048387,33.98870968,55.68575269,29.06303763,16.85954301,11.77392473,3.009811828
01-Nov-14,150.1479885,64.67672414,214.8221264,12.81091954,29.40718391,20.33390805,3.597270115,63.68994253,43.36781609,106.3905172,15.84497126,22.31077586,18.12586207,4.412787356
01-Dec-14,110.4169355,59.69811828,170.105914,22.68252688,22.45040323,13.22701613,3.209274194,36.18333333,37.85846774,73.28682796,29.13360215,14.94045699,12.05080645,3.955645161
01-Jan-15,109.7805108,62.72916667,172.5063172,23.79731183,24.30067204,13.5327957,4.266532258,34.06962366,38.57298387,69.82903226,33.6688172,15.75026882,12.55564516,3.60577957
01-Feb-15,108.836756,64.69583333,173.5327381,22.15014881,28.1625,15.78988095,5.973958333,30.09761905,40.52306548,68.83318452,30.88839286,17.9485119,14.41636905,5.898511905
01-Mar-15,81.25685484,55.80282258,137.053629,29.03051075,31.15456989,19.54005376,2.772371968,19.81586022,35.08548387,52.37526882,43.40215054,22.99193548,18.3219086,5.860752688
01-Apr-15,77.78041667,56.16138889,133.9518056,33.44055556,25.54458333,16.12930556,1.220972222,17.17208333,33.92263889,49.29263889,46.75986111,19.13277778,14.12736111,4.369722222
01-May-15,62.18897849,48.5577957,110.7530914,41.56975806,20.13508065,10.45604839,2.988227334,9.727956989,24.61505376,32.78803763,54.13494624,14.42352151,8.718682796,2.814784946
01-Jun-15,69.12875,50.52902778,119.6570833,37.28597222,22.59958333,12.7525,5.296666667,11.74875,26.0575,36.47319444,50.28194444,17.14111111,10.77666667,3.991527778
01-Jul-15,71.3577957,49.50053763,120.8627688,34.39811828,20.00645161,11.14758065,5.997846568,11.18212366,23.89032258,33.20564516,46.2141129,15.16666667,9.507123656,3.521370968
01-Aug-15,69.74717742,49.00483871,118.7502688,28.95376344,20.51424731,12.2016129,0.494489247,12.60537634,26.33467742,36.32795699,40.44435484,15.75483871,9.298924731,4.033064516
01-Sep-15,99.27541667,56.97166667,156.2425,21.21861111,20.42486111,12.56888889,1.011326379,22.94944444,32.55097222,53.54680556,31.37652778,14.99486111,8.125972222,3.589027778
01-Oct-15,108.7965054,58.51706989,167.311828,18.32876344,26.01424731,18.57446237,0.039932886,30.24448925,35.55067204,62.16693548,24.45416667,20.13830645,12.83669355,3.699327957
01-Nov-15,98.30416667,53.93208333,152.23375,24.85416667,21.82472222,12.73263889,2.963611111,25.49263889,29.49819444,53.01902778,34.26958333,16.21736111,9.114166667,3.524722222
01-Dec-15,72.44018817,47.17486559,119.6884409,32.61639785,24.14704301,11.86384409,1.595833333,12.12123656,24.18951613,33.17634409,44.13024194,19.13682796,8.169623656,3.61733871
01-Jan-16,123.1047043,60.03682796,183.1553763,23.77674731,23.20698925,13.59784946,3.920295699,44.23776882,38.15685484,80.07204301,32.69973118,16.51774194,9.139650538,4.752419355
01-Feb-16,106.5643678,58.6816092,165.2393678,27.42399425,23.08965517,13.04798851,4.050574713,33.16077586,36.51336207,69.56106322,38.06235632,16.84626437,9.789798851,3.924137931
01-Mar-16,87.32620968,57.60510753,144.9272849,30.19650538,26.07150538,18.03669355,3.498387097,20.39180108,34.34099462,54.70456989,41.18373656,18.85013441,15.62043011,2.300134409
01-Apr-16,85.46388889,58.78333333,144.2519444,33.88444444,21.07486111,12.54305556,5.895972222,14.72458333,30.33541667,45.06083333,46.46,14.49347222,8.677916667,3.446388889
01-May-16,63.22553763,50.93481183,114.1620968,39.64952957,22.38467742,13.83051075,4.027714093,10.50087366,26.10577957,35.87076613,53.16922043,17.0202957,10.70974462,3.29327957
01-Jun-16,69.49722222,48.741875,118.2408333,31.51152778,21.27659722,12.60659722,6.074027778,11.848125,24.92875,36.109375,43.93347222,16.09902778,9.692430556,4.395347222
01-Jul-16,69.92795699,45.4452957,115.425,24.22231183,16.99112903,10.93091398,2.505913978,10.63037634,21.3266129,31.95873656,36.64717742,13.04354839,6.763575269,2.476209677
01-Aug-16,65.57110215,47.58696237,113.2087366,27.21895161,20.73387097,12.71048387,1.990860215,11.12432796,23.56330645,34.6875,39.73413978,16.80524194,8.573655914,3.137634409
01-Sep-16,87.28833333,54.71513889,142.1063889,21.575,21.54138889,12.89958333,2.513472222,14.56055556,28.19458333,42.7575,30.05375,16.75569444,8.674305556,3.821666667
01-Oct-16,108.2728495,58.2827957,166.6331989,15.25766129,24.32782258,16.74233871,4.95188172,32.37620968,33.66908602,66.04637097,20.02768817,19.89811828,12.00120968,3.220430108
01-Nov-16,139.0443056,66.13777778,205.2681944,15.38930556,24.58777778,14.51861111,6.113706294,49.54347222,41.35486111,90.90041667,20.91972222,19.11777778,11.59805556,4.906666667
01-Dec-16,180.9333333,69.7219086,250.743414,11.08051075,33.17930108,23.88306452,5.758807588,79.2452957,49.56989247,128.8146505,13.9952957,27.12956989,20.31330645,2.596370968
01-Jan-17,110.422043,71.74166667,241.1407258,12.8344086,31.25430108,23.84032258,8.540566038,51.14462366,50.73172043,129.1522849,16.13373656,24.75120968,21.3327957,3.263037634
01-Feb-17,57.05982143,54.69300595,142.1428571,25.5172619,25.61800595,18.43958333,5.053125,13.91145833,33.91532738,55.24761905,32.82157738,21.21190476,16.165625,4.182440476
01-Mar-17,50.15349462,52.8641129,129.7353495,33.64637097,23.05443548,13.53467742,2.432614555,9.224327957,31.90591398,46.12446237,43.89623656,17.82728495,12.02083333,3.621639785
01-Apr-17,40.74319444,51.14361111,113.6222222,38.29194444,22.39791667,12.79638889,3.410584958,7.855416667,28.72902778,40.93736111,51.24138889,17.53,11.33541667,2.907777778
01-May-17,39.66223118,47.41505376,108.1938172,34.2938172,22.33064516,12.83655914,2.113862719,7.027822581,26.80833333,37.58481183,48.25913978,18.04032258,11.3891129,3.445430108
01-Jun-17,36.96388889,45.57125,102.2438889,34.34777778,21.07305556,11.40555556,1.928431373,5.8175,22.71166667,31.63180556,50.59013889,16.38888889,9.507361111,2.906388889
01-Jul-17,38.24233871,41.98454301,100.6129032,27.47620968,17.15819892,9.408467742,0.843876178,5.922043011,21.21048387,26.71223118,42.37244624,12.98897849,7.542876344,3.069623656
01-Aug-17,41.68172043,44.25698925,108.1579301,23.56438172,17.81048387,10.23655914,0.556603774,8.226747312,24.44905914,33.45577957,36.82876344,13.83870968,8.679973118,1.365725806
01-Sep-17,48.09222222,47.83458333,121.5670833,20.24,19.24458333,12.0875,1.780779944,10.19402778,27.70986111,39.27486111,31.18625,14.13375,10.38375,1.331527778
01-Oct-17,51.69153226,47.44327957,126.6969086,22.81330645,19.97311828,10.86344086,1.589487871,13.72862903,28.5030914,45.59032258,32.02419355,15.56827957,9.28077957,3.267741935
01-Nov-17,69.75680556,56.90583333,163.9186111,17.07138889,22.18888889,13.38305556,4.484325109,24.39402778,38.71111111,72.24638889,23.54652778,16.97958333,12.30583333,4.49
01-Dec-17,57.13360215,52.85268817,140.5096774,21.81774194,17.63481183,9.884408602,5.566261808,17.50013441,36.14206989,62.97580645,28.79301075,13.04811828,9.39516129,1.951209677
01-Jan-18,46.02903226,47.28776882,117.859543,26.4327957,18.86612903,10.28198925,2.961185984,13.94422043,32.08790323,49.22002688,35.7813172,14.55994624,10.81223118,1.9375
01-Feb-18,47.60238095,51.46860119,124.4534226,26.071875,23.05982143,11.91830357,3.087761194,12.79136905,35.22098214,51.3983631,36.3391369,16.5891369,12.46011905,1.09077381
01-Mar-18,41.52715054,51.06048387,114.7321237,29.82325269,25.9686828,14.98991935,4.000269179,10.32137097,34.375,46.16572581,42.42473118,19.9327957,13.58951613,1.832123656
01-Apr-18,34.81,46.77916667,100.1505556,35.50958333,26.08,16.84486111,1.263927577,7.307777778,28.69430556,36.60597222,50.56083333,21.05805556,14.61625,1.050972222
